FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
1,0.12345679012345677,0.10126582278481013,0.1506849315068493,0.2028985507246377,1.2222222222222223,0.7777777777777778,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,-0.1111111111111111,-0.6666666666666666,0.4444444444444444,0.0,-14.0,0.0,1.0
0,0.07407407407407407,0.05063291139240506,0.2465753424657534,0.17391304347826084,0.4444444444444444,1.1111111111111112,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,-1.3333333333333333,-0.8888888888888888,-0.6666666666666666,-0.2222222222222222,12.0,1.0,0.0
0,0.1851851851851852,0.06329113924050632,0.1506849315068493,0.2318840579710145,1.4,0.4,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.4,-1.1,1.0,0.6,-15.0,1.0,0.0
0,0.2962962962962963,0.10126582278481013,0.1232876712328767,0.2608695652173913,2.3,0.7,0,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,1.5,-1.0,1.6,0.7,-17.0,1.0,0.0
1,0.2345679012345679,0.16455696202531644,0.2328767123287671,0.14492753623188406,1.2,1.4,3,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0.2,0.3,-0.2,0.2,-10.0,0.0,1.0
1,0.16049382716049382,0.2531645569620253,0.1780821917808219,0.07246376811594203,1.1,1.9,0,0,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0.0,1.5,-0.8,-0.6,1.0,0.0,1.0
1,0.13580246913580246,0.1518987341772152,0.2054794520547945,0.18840579710144928,0.9,1.0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,-0.4,-0.1,-0.1,-0.4,0.0,0.0,1.0
0,0.12345679012345677,0.16455696202531644,0.2054794520547945,0.17391304347826084,1.0,1.4,3,3,0,1,0,3,3,0,0,0,0,0,0,0,0,0,-0.5,0.1,-0.4,0.0,11.0,1.0,0.0
1,0.09876543209876544,0.21518987341772156,0.136986301369863,0.17391304347826084,1.1,1.6,1,3,1,3,3,3,3,1,0,0,0,0,0,0,0,0,-0.2,0.5,-0.5,-0.5,-6.0,0.0,1.0
1,0.04938271604938271,0.13924050632911392,0.1917808219178082,0.18840579710144928,1.0,1.1,1,1,1,1,1,1,3,0,0,0,1,1,0,0,0,0,-1.0,-0.2,-0.1,-0.4,2.0,0.0,1.0
0,0.2345679012345679,0.20253164556962025,0.136986301369863,0.18840579710144928,1.7,1.3,1,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0.9,0.3,0.4,0.2,3.0,1.0,0.0
1,0.16049382716049382,0.10126582278481013,0.2191780821917808,0.2463768115942029,0.9,0.8,0,1,1,3,1,1,3,0,0,0,0,0,0,0,0,0,-0.3,-0.9,0.1,0.2,5.0,0.0,1.0
0,0.061728395061728385,0.16455696202531644,0.2602739726027397,0.2028985507246377,0.3636363636363637,1.0,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,-1.2727272727272727,-0.09090909090909093,-0.6363636363636364,-0.3636363636363637,-1.0,1.0,0.0
1,0.16049382716049382,0.3291139240506329,0.1780821917808219,0.14492753623188406,1.2727272727272727,2.363636363636364,1,0,3,3,3,0,3,3,0,0,0,0,1,0,0,0,0.0,1.4545454545454546,-1.0909090909090908,-0.4545454545454545,6.0,0.0,1.0
0,0.19753086419753085,0.17721518987341772,0.1917808219178082,0.2753623188405797,1.181818181818182,0.8181818181818182,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0.18181818181818185,-0.4545454545454545,0.3636363636363637,0.3636363636363637,-16.0,1.0,0.0
1,0.1111111111111111,0.2531645569620253,0.273972602739726,0.14492753623188406,0.6363636363636364,1.818181818181818,1,3,1,1,3,1,3,3,0,0,1,0,1,0,0,0,-1.0,0.9090909090909092,-1.181818181818182,-0.8181818181818182,13.0,0.0,1.0
0,0.25925925925925924,0.13924050632911392,0.0684931506849315,0.2318840579710145,2.0,0.8181818181818182,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1.4545454545454546,-0.4545454545454545,1.181818181818182,1.0,0.0,1.0,0.0
1,0.2345679012345679,0.06329113924050632,0.1917808219178082,0.2318840579710145,1.5454545454545454,0.9090909090909092,0,3,3,3,1,1,1,1,0,0,0,0,0,0,1,1,0.4545454545454545,-1.0,0.6363636363636364,0.9090909090909092,11.0,0.0,1.0
1,0.13580246913580246,0.2405063291139241,0.2465753424657534,0.2463768115942029,1.0,1.181818181818182,3,1,1,3,0,3,3,1,0,0,0,0,0,0,0,0,-0.6363636363636364,0.18181818181818185,-0.18181818181818185,-0.09090909090909093,5.0,0.0,1.0
0,0.16049382716049382,0.2278481012658228,0.136986301369863,0.15942028985507245,1.3636363636363635,1.5454545454545454,0,3,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0.2727272727272727,0.6363636363636364,-0.18181818181818185,-0.18181818181818185,15.0,1.0,0.0
